tamano;tiempo BF;tiempo DP
2;0.1;0.1
2;0.0;0.0
2;0.0;0.1
2;0.0;0.1
2;0.0;0.0
2;0.0;0.0
2;0.0;0.0
2;0.0;0.0
2;0.0;0.0
3;0.0;0.0
3;4.0;1.0
3;1.7;1.0
3;2.0;1.0
3;4.0;1.0
3;4.0;1.0
3;3.0;1.0
3;4.0;1.0
3;4.0;1.0
3;4.0;1.0
4;3.6;1.0
4;21.3;2.0
4;21.0;2.0
4;15.0;2.0
4;19.0;2.0
4;16.8;2.0
4;23.9;2.0
4;24.1;2.0
4;21.0;2.0
4;21.0;2.0
5;21.0;2.0
5;115.6;3.2
5;115.0;3.2
5;102.2;3.2
5;116.1;3.1
5;115.0;4.2
5;82.1;3.2
5;84.0;3.7
5;80.0;3.6
5;98.6;3.0
6;113.6;3.1
6;428.3;5.2
6;521.9;6.0
6;639.2;6.0
6;441.8;6.0
6;461.3;6.0
6;210.9;5.0
6;646.6;6.0
6;432.1;6.0
6;630.1;6.0
7;185.2;6.0
7;602.8;6.0
7;3513.2;9.0
7;1802.4;9.0
7;2690.8;9.0
7;1511.8;9.0
7;3578.2;9.0
7;3102.0;8.0
7;3572.3;9.0
7;3266.5;9.0
8;3532.6;9.0
8;14977.2;11.7
8;13421.9;11.7
8;1489.1;8.0
8;20899.0;11.5
8;9851.8;10.0
8;14357.7;11.0
8;18970.5;11.9
8;9606.8;11.0
8;10093.4;11.7
9;10653.3;11.9
9;101475.7;14.8
9;78123.5;15.0
9;102850.0;12.0
9;61187.0;11.0
9;95452.6;12.0
9;95419.4;12.0
9;104401.6;12.0
9;93981.3;12.0
9;46905.8;11.0
10;76614.0;12.0
10;292055.0;15.0
10;142743.2;14.9
10;101830.4;12.0
10;537269.3;14.0
10;579636.1;14.1
10;310461.4;13.8
10;353025.6;14.0
10;100952.4;12.0
10;239686.9;14.7
11;529343.9;13.6
11;2743181.3;15.0
11;1886673.1;15.7
11;3240266.5;16.1
11;1712605.3;16.8
11;3185691.4;15.0
11;1086934.9;16.2
11;1911868.1;17.6
11;2154763.5;15.0
11;2192265.7;15.0
11;2732081.3;16.0